,0,1,2,3,4
0,,STATE/UT,NO OF,ELECTORS,
1,,,1 - Seat,2 - Seat,TOTAL
2,1 .,Andhra Pradesh,11051989,6616727,17668716
3,2 .,Assam,2982170,1513189,4495359
4,3 .,Bihar,13668413,5846154,19514567
5,4 .,Bombay,18438847,6019825,24458672
6,5 .,Kerala,5868699,1645927,7514626
7,6 .,Madhya Pradesh,6943243,7066894,14010137
8,7 .,Madras,11646913,5868080,17514993
9,8 .,Mysore,7792544,2214392,10006936
10,9 .,Orrisa,3235747,4748168,7983915
11,10 .,Punjab,5053990,4155036,9209026
12,11 .,Rajasthan,5582979,3162747,8745726
13,12 .,Uttar Pradesh,200470201,4854583,34901603
14,13 .,West Bengal,8532676,6683856,15216532
15,14 .,Delhi,536561,439791,976352
16,15 .,Himachal Pradesh,350998,320908,671906
17,16 .,Manipur,330211,0,330211
18,17 .,Tripura,0,432902,432902
19,,TOTAL,1220630007,1589179,193652179
