,0,1,2,3,4,5,6,7
0,STATE/UT,,ELECTORS,,,Voters,,
1,,,,,,,,POLL
2,,1-Seat,2-Seat,Total,1-Seat,2-Seat,Total,% (age)
3,Andhra Pradesh1 .,11051989,6616727,176687164,692725,4838648,9531373,42.99
4,Assam2 .,2982170,1513189,44953591,203192,1089420,2292612,46.14
5,Bihar3 .,13668413,5846154,195145675,747637,4260239,10007876,40.65
6,Bombay4 .,18438847,6019825,244586729,878618,6881667,16760285,54.99
7,Kerala5 .,5868699,1645927,75146263,935763,2114483,6050246,66.05
8,Madhya Pradesh6 .,6943243,7066894,140101372,757660,4856562,7614222,36.77
9,Madras7 .,11646913,5868080,175149935,373785,5577056,10950841,47.75
10,Mysore8 .,7792544,2214392,100069364,118356,1680084,5798440,52.21
11,Orrisa9 .,3235747,4748168,79839151,190839,3249651,4440490,34.88
12,Punjab10 .,5053990,4155036,92090263,115469,4068361,7183830,53.75
13,Rajasthan11 .,5582979,3162747,87457262,360349,2288734,4649083,39.04
14,Uttar Pradesh12 .,20047020,14854583,349016039,397054,13499049,22896103,46.02
15,West Bengal13 .,8532676,6683856,152165324,523514,5916586,10440100,47.67
16,Delhi14 .,536561,439791,976352,338940,472404,811344,57.29
17,Himachal Pradesh15 .,350998,320908,671906,144797,217844,362641,36.53
18,Manipur16 .,330211,0,330211,174091,0,174091,52.72
19,Tripura17 .,0,432902,432902,0,550338,550338,63.56
20,TOTAL,122063000,71589179,19365217958,952789,61561126,120513915,45.44
